CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	R1	R123
3399	WAREHOUSE	almacén	"{""256"": 6, ""2931"": 4, ""926"": 2, ""1869"": 2, ""1368"": 2, ""811"": 1, ""712"": 1, ""1229"": 1}"	"{""256"": 8, ""1477"": 5, ""2931"": 5, ""1869"": 4, ""926"": 2, ""635"": 2, ""1368"": 2, ""984"": 2, ""1229"": 2, ""811"": 1, ""2783"": 1, ""1887"": 1, ""731"": 1, ""1465"": 1, ""1443"": 1, ""212"": 1, ""1559"": 1, ""1864"": 1, ""1594"": 1, ""712"": 1, ""1230"": 1}"
1596	LOCK	candado	"{""589"": 12, ""1472"": 12, ""1046"": 6, ""509"": 3, ""1012"": 2, ""1121"": 2, ""1156"": 1, ""1252"": 1, ""849"": 1, ""163"": 1, ""2940"": 1, ""1567"": 1, ""1892"": 1}"	"{""1472"": 39, ""589"": 17, ""1046"": 9, ""1567"": 6, ""1121"": 6, ""509"": 5, ""2244"": 3, ""1156"": 2, ""1012"": 2, ""1627"": 1, ""1663"": 1, ""1252"": 1, ""1246"": 1, ""1763"": 1, ""849"": 1, ""1477"": 1, ""4005"": 1, ""163"": 1, ""1810"": 1, ""2940"": 1, ""1072"": 1, ""2900"": 1, ""1895"": 1, ""1892"": 1, ""1375"": 1}"
1971	FAN (OBJECT)	abanico	"{""27"": 9, ""960"": 7, ""1496"": 1, ""1424"": 1, ""1335"": 1, ""1198"": 1}"	"{""27"": 18, ""960"": 17, ""2471"": 4, ""1496"": 2, ""1229"": 1, ""962"": 2, ""1424"": 1, ""1335"": 1, ""1757"": 1, ""765"": 1, ""1198"": 1, ""648"": 1, ""1641"": 1, ""1342"": 1}"
253	CARE FOR	cuidar	"{""2900"": 17, ""923"": 5, ""1289"": 3, ""92"": 3, ""1304"": 2, ""928"": 1, ""1542"": 1, ""789"": 1, ""43"": 1, ""1620"": 1, ""1216"": 1, ""892"": 1}"	"{""2900"": 28, ""923"": 8, ""1289"": 4, ""92"": 4, ""1304"": 4, ""1542"": 3, ""1480"": 3, ""194"": 3, ""1216"": 1, ""1252"": 2, ""1847"": 2, ""928"": 1, ""3635"": 1, ""1897"": 1, ""1336"": 1, ""789"": 1, ""43"": 1, ""1427"": 1, ""1620"": 1, ""3847"": 1, ""781"": 1, ""643"": 1, ""1040"": 1, ""2009"": 1, ""1676"": 1, ""1448"": 1, ""773"": 1, ""892"": 1}"
1343	SUN	sol	"{""1430"": 10, ""1225"": 6, ""1313"": 6, ""1424"": 5, ""630"": 5, ""3460"": 2, ""1342"": 2, ""2524"": 1, ""2296"": 1, ""3709"": 1, ""1286"": 1, ""1228"": 1, ""1209"": 1}"	"{""630"": 23, ""1430"": 13, ""1424"": 12, ""1342"": 9, ""1225"": 8, ""1313"": 7, ""210"": 6, ""1732"": 5, ""3460"": 4, ""3709"": 3, ""2524"": 2, ""2296"": 2, ""1286"": 2, ""2941"": 2, ""221"": 2, ""1508"": 2, ""491"": 1, ""479"": 1, ""785"": 1, ""1427"": 1, ""1233"": 1, ""1217"": 1, ""141"": 1, ""1654"": 1, ""1228"": 1, ""1209"": 1}"
1394	BONE	hueso	"{""2668"": 8, ""1480"": 7, ""634"": 6, ""1884"": 6, ""619"": 3, ""1335"": 3, ""1004"": 3, ""2009"": 3, ""785"": 2, ""1673"": 1, ""1783"": 1, ""910"": 1, ""683"": 1, ""763"": 1}"	"{""2668"": 16, ""1335"": 12, ""1884"": 11, ""1480"": 10, ""634"": 8, ""2009"": 7, ""619"": 5, ""910"": 3, ""1004"": 3, ""256"": 2, ""785"": 2, ""683"": 2, ""1673"": 1, ""767"": 1, ""1605"": 1, ""1560"": 1, ""1783"": 1, ""1548"": 1, ""635"": 1, ""763"": 1, ""1242"": 1, ""680"": 1, ""1007"": 1}"
1948	SAW	sierra	"{""639"": 1, ""1948"": 6, ""1432"": 1, ""1361"": 3, ""212"": 2, ""1803"": 2, ""1683"": 2, ""1375"": 2, ""27"": 1, ""711"": 1, ""2252"": 1, ""1352"": 1, ""1380"": 1, ""677"": 1, ""624"": 1, ""2244"": 1, ""1338"": 1, ""1228"": 1}"	"{""639"": 4, ""1803"": 10, ""1948"": 10, ""1432"": 2, ""1361"": 4, ""1425"": 4, ""1380"": 3, ""711"": 2, ""906"": 2, ""212"": 2, ""1352"": 2, ""2244"": 2, ""1683"": 2, ""1338"": 2, ""1375"": 2, ""948"": 1, ""27"": 1, ""2252"": 1, ""1105"": 1, ""1732"": 1, ""850"": 1, ""151"": 1, ""1225"": 1, ""2978"": 1, ""785"": 1, ""1202"": 1, ""677"": 1, ""628"": 1, ""624"": 1, ""638"": 1, ""637"": 1, ""2977"": 1, ""1300"": 1, ""857"": 1, ""947"": 1, ""3810"": 1, ""1182"": 1, ""3458"": 1, ""1228"": 1, ""241"": 1, ""921"": 1, ""960"": 1}"
657	PRICE	precio	"{""1559"": 6, ""711"": 2, ""759"": 2, ""2931"": 1}"	"{""1559"": 20, ""1887"": 11, ""759"": 5, ""718"": 4, ""711"": 3, ""984"": 3, ""1895"": 2, ""1035"": 1, ""256"": 1, ""1869"": 1, ""1783"": 1, ""3847"": 1, ""633"": 1, ""1867"": 1, ""2931"": 1, ""3002"": 1, ""892"": 1, ""210"": 1}"
909	GARBAGE	basura	"{""2124"": 3, ""1230"": 3, ""25"": 2, ""1362"": 1, ""4011"": 1, ""1365"": 1, ""1051"": 1, ""1292"": 1, ""910"": 1, ""1209"": 1}"	"{""1230"": 9, ""2124"": 8, ""25"": 7, ""1548"": 3, ""1362"": 2, ""2235"": 2, ""1256"": 1, ""4011"": 1, ""1252"": 1, ""1365"": 1, ""1051"": 1, ""1292"": 1, ""1320"": 1, ""3208"": 1, ""910"": 1, ""662"": 1, ""1728"": 1, ""1455"": 1, ""1425"": 1, ""1209"": 1}"
90	INNOCENT	inocente	"{""1304"": 16, ""1682"": 9, ""1035"": 3, ""134"": 3, ""1147"": 2, ""1495"": 1, ""1207"": 1, ""861"": 1, ""1067"": 1, ""704"": 1, ""683"": 1, ""1674"": 1, ""1492"": 1, ""1209"": 1}"	"{""1304"": 21, ""1682"": 12, ""1035"": 5, ""134"": 4, ""1147"": 4, ""1209"": 3, ""861"": 2, ""1067"": 2, ""1646"": 2, ""1674"": 2, ""1034"": 1, ""1281"": 1, ""390"": 1, ""1246"": 1, ""1225"": 1, ""717"": 1, ""1834"": 1, ""1495"": 1, ""789"": 1, ""1207"": 1, ""1160"": 1, ""704"": 1, ""1216"": 1, ""1338"": 1, ""2009"": 1, ""683"": 1, ""1072"": 1, ""3458"": 1, ""487"": 1, ""1492"": 1}"
