CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	R1	R123
728	FIRST	voorst	"{""769"": 1, ""600"": 1}"	"{""1376"": 1, ""1511"": 1, ""769"": 1, ""1384"": 2, ""673"": 1, ""1357"": 1, ""1496"": 1, ""1221"": 1, ""1390"": 1, ""624"": 1, ""1019"": 1, ""244"": 1, ""1287"": 1, ""600"": 1}"
2009	DOG	hond	"{""619"": 3, ""674"": 1, ""3812"": 1, ""1208"": 10, ""100"": 4, ""1220"": 2, ""2470"": 7, ""1206"": 13, ""1585"": 1, ""1297"": 1, ""2409"": 1, ""1443"": 2, ""1030"": 1, ""1246"": 1, ""1040"": 1, ""1403"": 1}"	"{""619"": 10, ""674"": 1, ""1395"": 1, ""3812"": 1, ""671"": 1, ""1208"": 18, ""2470"": 10, ""1297"": 4, ""100"": 11, ""1220"": 4, ""946"": 1, ""1427"": 2, ""1206"": 20, ""1403"": 9, ""1394"": 1, ""1585"": 1, ""1336"": 3, ""2409"": 1, ""539"": 1, ""1443"": 4, ""3124"": 3, ""163"": 3, ""1564"": 1, ""606"": 1, ""1845"": 1, ""2099"": 2, ""1252"": 1, ""1246"": 2, ""1829"": 1, ""1856"": 2, ""1030"": 1, ""1230"": 1, ""1645"": 1, ""1221"": 2, ""1040"": 1}"
580	FUR	bont	"{""619"": 9, ""837"": 17, ""1007"": 1, ""1899"": 1, ""2997"": 6, ""1232"": 1, ""1426"": 2, ""1292"": 1}"	"{""2997"": 16, ""1136"": 3, ""1471"": 1, ""619"": 18, ""837"": 25, ""1288"": 2, ""1007"": 3, ""1232"": 9, ""1899"": 1, ""1856"": 4, ""1427"": 1, ""1625"": 2, ""1292"": 2, ""1426"": 2, ""3002"": 1, ""946"": 2, ""1850"": 1, ""1040"": 1, ""1234"": 1}"
629	LEATHER	leer	"{""1381"": 7, ""1007"": 11, ""619"": 1, ""1895"": 2, ""673"": 3, ""163"": 6, ""772"": 1, ""615"": 1, ""809"": 3, ""585"": 1, ""763"": 2, ""1518"": 1, ""1111"": 1, ""1287"": 1, ""1426"": 1}"	"{""1426"": 4, ""1287"": 4, ""1007"": 26, ""673"": 5, ""2427"": 1, ""1381"": 10, ""615"": 3, ""619"": 3, ""809"": 8, ""1895"": 3, ""163"": 8, ""2409"": 4, ""772"": 3, ""1232"": 2, ""1111"": 2, ""110"": 1, ""1331"": 1, ""963"": 4, ""2630"": 1, ""3053"": 1, ""1548"": 1, ""585"": 1, ""1471"": 1, ""504"": 2, ""1070"": 1, ""763"": 2, ""634"": 1, ""1518"": 1, ""1310"": 1, ""1190"": 1}"
2504	DIFFERENT	verschillend	"{""2504"": 1, ""1570"": 2, ""1613"": 1, ""1427"": 1, ""789"": 1, ""194"": 1}"	"{""2504"": 1, ""1613"": 6, ""789"": 8, ""1570"": 6, ""1498"": 2, ""1427"": 1, ""1030"": 2, ""1881"": 1, ""1202"": 1, ""275"": 1, ""194"": 2, ""1209"": 1, ""962"": 1, ""1111"": 1}"
3356	INCENSE	wierook	"{""1349"": 27, ""1586"": 1, ""1625"": 1, ""778"": 2}"	"{""1349"": 58, ""778"": 10, ""221"": 2, ""1586"": 1, ""1625"": 5, ""1847"": 2, ""1335"": 1, ""1230"": 1, ""1425"": 1, ""2452"": 1, ""1613"": 1}"
3730	APRICOT	abrikoos	"{""2043"": 6, ""1507"": 22, ""156"": 2, ""3328"": 13, ""1336"": 2, ""1856"": 9, ""2440"": 1, ""922"": 1, ""1292"": 1, ""1424"": 2, ""1395"": 2, ""1342"": 1, ""717"": 3, ""3446"": 1, ""763"": 1}"	"{""2043"": 12, ""1395"": 6, ""1507"": 38, ""3328"": 42, ""1856"": 20, ""156"": 2, ""1864"": 1, ""1336"": 4, ""1424"": 5, ""717"": 11, ""2440"": 1, ""906"": 1, ""922"": 3, ""1342"": 6, ""1613"": 1, ""1320"": 2, ""1040"": 1, ""1292"": 1, ""1230"": 1, ""1906"": 1, ""816"": 1, ""868"": 1, ""3446"": 1, ""4008"": 1, ""1496"": 1, ""763"": 2, ""1246"": 1}"
1385	PEPPER	peper	"{""1274"": 60, ""1426"": 2, ""1336"": 5, ""1286"": 3, ""156"": 1, ""163"": 1}"	"{""1274"": 68, ""1775"": 1, ""1336"": 22, ""634"": 1, ""1426"": 4, ""1286"": 8, ""1246"": 2, ""156"": 8, ""2409"": 3, ""1425"": 4, ""1867"": 1, ""1100"": 7, ""785"": 2, ""163"": 3, ""1070"": 1, ""1221"": 2, ""1198"": 1, ""1335"": 2, ""1230"": 1}"
1297	LEG	been	"{""231"": 1, ""1040"": 5, ""2009"": 6, ""809"": 2, ""1673"": 13, ""418"": 3, ""1301"": 11, ""1443"": 5, ""1394"": 7, ""1498"": 1, ""1381"": 1, ""1343"": 1, ""2668"": 1, ""1884"": 1}"	"{""1673"": 15, ""1301"": 28, ""231"": 1, ""1040"": 7, ""1335"": 1, ""418"": 5, ""1135"": 2, ""2009"": 23, ""1884"": 4, ""1069"": 2, ""1394"": 18, ""1443"": 18, ""809"": 3, ""615"": 1, ""1498"": 3, ""962"": 1, ""1342"": 1, ""3131"": 1, ""1442"": 4, ""1381"": 4, ""1427"": 2, ""1522"": 1, ""2058"": 1, ""785"": 2, ""1514"": 1, ""1343"": 1, ""1829"": 1, ""1757"": 1, ""2540"": 1, ""2668"": 1, ""1659"": 1, ""634"": 1, ""712"": 1, ""3446"": 1, ""2902"": 1, ""1277"": 1, ""163"": 1, ""1803"": 1, ""585"": 1, ""1400"": 1, ""1631"": 1}"
3126	POST (SOMETHING)	posten	"{""3095"": 2, ""1252"": 1}"	"{""2625"": 3, ""3088"": 2, ""3095"": 16, ""648"": 2, ""156"": 5, ""1070"": 3, ""1672"": 1, ""1442"": 1, ""1252"": 1, ""906"": 1, ""3124"": 1}"
1672	WRITE	schrijven	"{""963"": 9, ""794"": 39, ""648"": 6, ""724"": 6, ""3134"": 4, ""673"": 1, ""2643"": 1}"	"{""794"": 55, ""648"": 43, ""963"": 20, ""2578"": 3, ""1298"": 1, ""2643"": 14, ""724"": 11, ""1277"": 3, ""673"": 6, ""837"": 1, ""3134"": 8, ""1548"": 1, ""628"": 4}"
2302	CIRCULAR (ROUND IN TWO DIMENSIONS)	cirkelvormig	"{""1395"": 71, ""1467"": 5, ""1343"": 1, ""2303"": 2, ""1845"": 1, ""1948"": 1, ""1775"": 1}"	"{""1228"": 4, ""1395"": 80, ""589"": 2, ""1343"": 7, ""1467"": 9, ""1845"": 19, ""1320"": 1, ""3083"": 2, ""1427"": 3, ""850"": 3, ""2303"": 10, ""710"": 3, ""1803"": 1, ""604"": 1, ""1948"": 2, ""1775"": 1, ""744"": 3, ""1867"": 1, ""1313"": 1, ""2001"": 1, ""3702"": 1}"
3118	IRON (CLOTHES)	strijken	"{""1453"": 1, ""1518"": 1, ""905"": 3, ""1232"": 1, ""1895"": 4, ""962"": 3, ""3702"": 2, ""26"": 1, ""1030"": 1}"	"{""1788"": 2, ""1232"": 12, ""1453"": 1, ""1518"": 2, ""905"": 5, ""4031"": 1, ""3702"": 6, ""1757"": 1, ""1398"": 1, ""1210"": 1, ""1895"": 8, ""1427"": 1, ""962"": 6, ""26"": 1, ""1442"": 1, ""1030"": 1, ""667"": 1, ""1286"": 1, ""1216"": 1, ""584"": 1}"
816	HALF	half	"{""635"": 2, ""1429"": 19, ""220"": 5, ""1624"": 1, ""1498"": 1, ""1703"": 1, ""3843"": 1, ""588"": 1, ""1368"": 1}"	"{""1321"": 1, ""604"": 9, ""635"": 4, ""1242"": 4, ""1881"": 2, ""1429"": 32, ""1624"": 16, ""1240"": 1, ""946"": 1, ""220"": 7, ""1040"": 1, ""1498"": 2, ""1368"": 4, ""2766"": 1, ""1703"": 1, ""634"": 1, ""1320"": 1, ""1352"": 2, ""1515"": 1, ""3843"": 1, ""1246"": 2, ""1395"": 1, ""1202"": 1, ""744"": 1, ""1467"": 1, ""1289"": 1, ""588"": 1, ""2277"": 1}"
1654	LIGHTNING	bliksem	"{""906"": 1, ""1150"": 32, ""1419"": 4, ""630"": 7, ""609"": 1, ""1233"": 1, ""221"": 2, ""1427"": 2, ""1631"": 2}"	"{""906"": 3, ""658"": 20, ""1150"": 54, ""630"": 19, ""1419"": 7, ""221"": 12, ""609"": 1, ""1233"": 1, ""706"": 4, ""59"": 6, ""1427"": 5, ""1424"": 2, ""3304"": 1, ""1730"": 1, ""1252"": 1, ""1631"": 3, ""948"": 1, ""1654"": 1}"
2548	BARREL	ton	"{""948"": 15, ""658"": 5, ""1244"": 1, ""1803"": 4, ""1515"": 2, ""1210"": 7, ""1395"": 5, ""227"": 3, ""1251"": 1, ""1524"": 2, ""1639"": 6, ""1429"": 1, ""1202"": 1, ""943"": 1, ""1290"": 1}"	"{""1803"": 20, ""1524"": 11, ""948"": 23, ""1342"": 1, ""658"": 12, ""1484"": 3, ""1244"": 3, ""1251"": 4, ""1515"": 2, ""4011"": 5, ""1198"": 1, ""1639"": 20, ""1210"": 18, ""1395"": 8, ""2409"": 2, ""1202"": 6, ""227"": 3, ""1443"": 1, ""1280"": 1, ""1429"": 1, ""1843"": 2, ""943"": 1, ""1290"": 2, ""706"": 1, ""837"": 1, ""671"": 1}"
418	FOR A LONG TIME	lang	"{""1040"": 9, ""1645"": 36, ""2308"": 1, ""2531"": 1, ""1202"": 14, ""2578"": 1, ""730"": 2, ""683"": 1, ""1267"": 2, ""1400"": 1, ""1295"": 1, ""3089"": 2, ""905"": 1, ""1244"": 1, ""1426"": 1, ""900"": 1}"	"{""1040"": 19, ""1427"": 1, ""1663"": 1, ""1645"": 46, ""785"": 1, ""2531"": 2, ""1267"": 5, ""1406"": 8, ""2308"": 2, ""1202"": 23, ""1400"": 4, ""905"": 6, ""1844"": 1, ""1631"": 1, ""730"": 5, ""2578"": 1, ""683"": 2, ""3089"": 5, ""1111"": 1, ""1225"": 1, ""1246"": 1, ""292"": 1, ""1226"": 1, ""1295"": 3, ""1585"": 1, ""1757"": 1, ""3107"": 1, ""1265"": 1, ""1593"": 1, ""1198"": 1, ""667"": 2, ""1481"": 1, ""1244"": 2, ""1426"": 1, ""868"": 1, ""1297"": 1, ""1395"": 1, ""900"": 2, ""1464"": 1, ""1419"": 1, ""1824"": 1, ""1518"": 1}"
1625	DEAD	dood	"{""1422"": 4, ""163"": 10, ""1383"": 1, ""2009"": 1, ""1367"": 4, ""1624"": 1, ""1419"": 1, ""1229"": 1, ""946"": 1, ""1129"": 1, ""699"": 1, ""48"": 1, ""1335"": 1}"	"{""418"": 1, ""1111"": 1, ""1884"": 1, ""699"": 2, ""1422"": 4, ""163"": 19, ""1229"": 7, ""1349"": 5, ""1383"": 1, ""2009"": 1, ""706"": 2, ""1367"": 7, ""1847"": 1, ""1624"": 2, ""3231"": 1, ""1419"": 1, ""239"": 1, ""1352"": 1, ""946"": 2, ""1129"": 1, ""2668"": 1, ""48"": 1, ""1287"": 1, ""194"": 1, ""905"": 1, ""1228"": 1, ""1335"": 1, ""1400"": 1}"
687	NOTHING	niets	"{""1242"": 6, ""1294"": 15, ""1624"": 18, ""1673"": 2, ""163"": 3, ""1343"": 1, ""2157"": 1, ""837"": 1, ""687"": 1, ""1335"": 1, ""667"": 1}"	"{""1242"": 14, ""1246"": 2, ""1335"": 5, ""1624"": 41, ""1864"": 2, ""3701"": 5, ""1294"": 25, ""687"": 2, ""1673"": 7, ""686"": 1, ""706"": 3, ""905"": 1, ""163"": 6, ""667"": 4, ""1231"": 1, ""1343"": 2, ""2157"": 2, ""837"": 1, ""48"": 2, ""1198"": 1, ""1625"": 2, ""258"": 1}"
1408	HEAR	horen	"{""1247"": 29, ""1608"": 14, ""1409"": 21, ""996"": 1, ""1007"": 1, ""1035"": 1}"	"{""1247"": 41, ""377"": 2, ""996"": 10, ""1608"": 31, ""1409"": 30, ""1623"": 3, ""1908"": 1, ""1586"": 7, ""1410"": 1, ""1007"": 1, ""639"": 1, ""176"": 1, ""1229"": 1, ""673"": 1, ""1355"": 1, ""1035"": 1}"
1539	BASKET	mand	"{""1507"": 14, ""1320"": 4, ""2009"": 6, ""648"": 3, ""700"": 3, ""1803"": 2, ""1298"": 1}"	"{""1507"": 31, ""2099"": 3, ""1574"": 1, ""1320"": 4, ""2009"": 11, ""2409"": 3, ""1803"": 6, ""648"": 4, ""700"": 7, ""1229"": 1, ""1208"": 4, ""619"": 1, ""185"": 1, ""654"": 1, ""1395"": 2, ""1280"": 2, ""1427"": 1, ""1824"": 2, ""1298"": 1, ""948"": 1, ""1360"": 1, ""864"": 1, ""1616"": 1, ""1202"": 1, ""156"": 1, ""1847"": 1, ""1895"": 1, ""1336"": 1}"
2530	SMART	intelligent	"{""1310"": 65, ""1518"": 1, ""683"": 1, ""1198"": 1, ""962"": 1, ""698"": 1}"	"{""1310"": 76, ""1518"": 4, ""1030"": 1, ""683"": 1, ""1898"": 3, ""698"": 5, ""1198"": 2, ""963"": 1, ""1620"": 1, ""1285"": 1, ""1824"": 1, ""1209"": 1, ""712"": 2, ""673"": 3, ""1631"": 3, ""1410"": 1, ""1265"": 1, ""3086"": 1, ""1229"": 1, ""962"": 1, ""686"": 1, ""1035"": 1}"
