CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	R1	R123
1535	SWORD	zwaard	"{""772"": 1, ""418"": 1, ""2902"": 6, ""1396"": 5, ""227"": 1, ""946"": 1, ""1352"": 1}"	"{""963"": 1, ""615"": 7, ""1625"": 4, ""1396"": 21, ""1803"": 1, ""772"": 1, ""418"": 2, ""1938"": 7, ""2902"": 11, ""946"": 9, ""1229"": 1, ""3124"": 1, ""216"": 3, ""297"": 1, ""1518"": 1, ""227"": 3, ""372"": 1, ""153"": 1, ""1884"": 1, ""1352"": 3, ""1287"": 1, ""677"": 1, ""571"": 1}"
3230	DECEIVE	bedriegen	"{""1411"": 22, ""1200"": 2, ""962"": 2, ""1554"": 4, ""1230"": 1, ""1518"": 2, ""3812"": 1, ""1390"": 1, ""1292"": 1, ""1111"": 1, ""1548"": 1, ""45"": 1, ""505"": 1}"	"{""1217"": 1, ""1411"": 34, ""1200"": 3, ""962"": 5, ""1554"": 8, ""1230"": 1, ""1292"": 4, ""2507"": 1, ""1518"": 2, ""713"": 3, ""721"": 1, ""3099"": 1, ""3812"": 2, ""1689"": 1, ""712"": 1, ""1390"": 1, ""699"": 1, ""1310"": 1, ""1111"": 1, ""163"": 1, ""100"": 1, ""45"": 3, ""1548"": 2, ""1129"": 1, ""2821"": 1, ""505"": 1, ""3053"": 1}"
1558	SIMILAR	vergelijkbaar	"{""1570"": 9, ""200"": 6, ""1415"": 1, ""1244"": 1}"	"{""1570"": 20, ""200"": 10, ""789"": 1, ""1415"": 1, ""2504"": 3, ""1819"": 1, ""1244"": 1, ""1245"": 1, ""584"": 1, ""1202"": 1, ""1750"": 1, ""1498"": 2, ""1171"": 1, ""194"": 1, ""673"": 1, ""683"": 1, ""1307"": 1}"
686	EASY	gemakkelijk	"{""584"": 21, ""1623"": 1, ""1564"": 2, ""686"": 24, ""1234"": 3, ""1416"": 1, ""504"": 1, ""673"": 1, ""1631"": 1, ""1307"": 1, ""1427"": 1}"	"{""584"": 34, ""1631"": 13, ""1623"": 2, ""686"": 50, ""1824"": 2, ""504"": 4, ""1804"": 1, ""1564"": 5, ""1234"": 5, ""1310"": 2, ""1856"": 1, ""972"": 1, ""1410"": 1, ""1416"": 1, ""509"": 1, ""905"": 3, ""630"": 3, ""673"": 2, ""1585"": 1, ""1884"": 1, ""1236"": 1, ""1443"": 1, ""1307"": 1, ""687"": 1, ""1427"": 1, ""3710"": 1, ""2506"": 1, ""2316"": 1}"
1627	CHAIN	ketting	"{""2009"": 2, ""1689"": 2, ""1333"": 10, ""110"": 1, ""1210"": 1, ""1948"": 10, ""1884"": 1, ""2997"": 1}"	"{""2009"": 9, ""962"": 2, ""1948"": 15, ""1689"": 2, ""1917"": 1, ""1333"": 18, ""323"": 2, ""110"": 3, ""1427"": 6, ""1210"": 3, ""153"": 2, ""1471"": 1, ""588"": 1, ""789"": 2, ""1367"": 1, ""1884"": 1, ""1844"": 1, ""1484"": 1, ""785"": 2, ""906"": 1, ""1548"": 1, ""1518"": 1, ""1426"": 3, ""1111"": 1, ""2997"": 1, ""1395"": 1}"
1629	EVENING	avond	"{""706"": 29, ""1430"": 1, ""1233"": 16, ""156"": 2, ""1788"": 1, ""1585"": 2, ""1313"": 1, ""1339"": 1, ""1323"": 1, ""630"": 1}"	"{""48"": 1, ""706"": 56, ""673"": 1, ""1585"": 15, ""1430"": 1, ""1233"": 23, ""963"": 1, ""1757"": 3, ""3086"": 1, ""1323"": 2, ""1336"": 7, ""156"": 2, ""1788"": 2, ""1343"": 3, ""1287"": 1, ""1471"": 2, ""630"": 4, ""216"": 1, ""1427"": 1, ""1313"": 2, ""1879"": 1, ""724"": 2, ""1524"": 2, ""1225"": 2, ""194"": 1, ""1339"": 1, ""185"": 1}"
2470	DEAR	lief	"{""1289"": 2, ""1856"": 8, ""1495"": 2, ""2009"": 2, ""1646"": 6, ""1044"": 2, ""1292"": 1, ""1223"": 1, ""2090"": 1, ""1548"": 1, ""1208"": 1, ""1232"": 1, ""1246"": 2, ""1954"": 2}"	"{""1289"": 4, ""615"": 1, ""2009"": 4, ""1044"": 4, ""1856"": 21, ""1954"": 5, ""1495"": 2, ""619"": 2, ""505"": 1, ""717"": 3, ""1427"": 5, ""194"": 1, ""1646"": 8, ""1208"": 3, ""1223"": 3, ""1537"": 1, ""3604"": 1, ""1337"": 1, ""1292"": 1, ""1035"": 2, ""962"": 2, ""1335"": 1, ""1285"": 1, ""2090"": 1, ""1625"": 1, ""1820"": 1, ""1233"": 1, ""1548"": 1, ""1232"": 1, ""1246"": 3, ""1554"": 1}"
1689	SMOKE (INHALE)	roken	"{""969"": 21, ""1401"": 1, ""778"": 4, ""1230"": 7, ""1518"": 1, ""1193"": 2, ""1427"": 1, ""1625"": 1}"	"{""969"": 33, ""1292"": 2, ""1335"": 1, ""1401"": 1, ""778"": 17, ""1230"": 13, ""1426"": 7, ""1518"": 3, ""1548"": 1, ""1100"": 1, ""1625"": 4, ""221"": 4, ""1193"": 3, ""674"": 1, ""153"": 1, ""1427"": 1, ""1133"": 1, ""2507"": 1}"
1622	SHIRT	overhemd	"{""3118"": 10, ""1427"": 3, ""3235"": 1, ""757"": 1, ""1200"": 1, ""1554"": 13, ""1335"": 9, ""4035"": 1, ""1232"": 1, ""1850"": 1, ""1453"": 1, ""3711"": 1, ""809"": 1}"	"{""3118"": 27, ""3711"": 4, ""1554"": 26, ""1427"": 5, ""3235"": 1, ""757"": 2, ""1200"": 1, ""1229"": 2, ""905"": 1, ""1335"": 13, ""4035"": 3, ""809"": 3, ""1622"": 1, ""1383"": 1, ""3604"": 1, ""1232"": 3, ""1850"": 1, ""1453"": 1, ""837"": 2, ""418"": 2, ""2506"": 1, ""3106"": 1, ""1342"": 1, ""3053"": 1, ""1287"": 1}"
1272	AUNT	tante	"{""194"": 23, ""1229"": 4, ""1263"": 3, ""1327"": 12, ""1373"": 1, ""2470"": 3, ""578"": 1, ""1355"": 1}"	"{""194"": 43, ""1327"": 20, ""1229"": 8, ""1826"": 1, ""962"": 7, ""1406"": 2, ""1295"": 1, ""1263"": 7, ""1625"": 1, ""474"": 1, ""1252"": 1, ""905"": 1, ""2470"": 9, ""667"": 2, ""1216"": 2, ""1373"": 1, ""377"": 1, ""153"": 2, ""1496"": 3, ""1232"": 1, ""505"": 1, ""1262"": 1, ""1208"": 1, ""1336"": 1, ""578"": 1, ""1207"": 1, ""2077"": 1, ""1355"": 1, ""712"": 1, ""1217"": 1}"
59	ELECTRICITY	electriciteit	"{""630"": 22, ""625"": 4, ""1654"": 1, ""1426"": 2, ""588"": 1, ""905"": 1, ""1425"": 1}"	"{""630"": 49, ""1654"": 3, ""1030"": 4, ""625"": 12, ""221"": 2, ""1426"": 6, ""706"": 1, ""3086"": 1, ""686"": 2, ""588"": 1, ""905"": 1, ""1425"": 2, ""3841"": 1, ""1232"": 2, ""1424"": 1, ""3106"": 1, ""1100"": 1}"
1230	DIRTY	vies	"{""640"": 10, ""1336"": 3, ""975"": 1, ""1826"": 1, ""1548"": 5, ""1245"": 1, ""1453"": 1, ""1689"": 1, ""1230"": 3, ""3726"": 1, ""704"": 1}"	"{""1548"": 14, ""45"": 1, ""640"": 16, ""1336"": 5, ""975"": 1, ""3726"": 2, ""1826"": 3, ""1728"": 4, ""1453"": 5, ""1245"": 1, ""2449"": 1, ""1292"": 4, ""1221"": 2, ""671"": 1, ""948"": 1, ""1427"": 2, ""2409"": 3, ""788"": 2, ""1230"": 8, ""658"": 1, ""2507"": 2, ""1689"": 1, ""227"": 1, ""3251"": 2, ""704"": 3, ""730"": 1, ""1337"": 1, ""887"": 1}"
2717	STEEP	steil	"{""1265"": 8, ""2991"": 1, ""1396"": 3, ""639"": 22, ""34"": 4, ""418"": 1, ""584"": 3, ""667"": 1, ""1102"": 2, ""1040"": 4, ""1404"": 1, ""614"": 1, ""784"": 1}"	"{""1265"": 13, ""639"": 48, ""584"": 8, ""2991"": 3, ""1011"": 1, ""1396"": 5, ""1419"": 1, ""1404"": 4, ""1210"": 3, ""667"": 5, ""1102"": 14, ""34"": 7, ""1040"": 12, ""3702"": 1, ""1464"": 2, ""1757"": 3, ""418"": 1, ""2483"": 1, ""614"": 3, ""769"": 1, ""1280"": 2, ""1631"": 1, ""1645"": 1, ""1240"": 1, ""784"": 1, ""1471"": 1}"
593	POTATO	aardappel	"{""1198"": 1, ""275"": 6, ""1228"": 4, ""1100"": 4, ""2009"": 1, ""2409"": 1, ""1336"": 10, ""1230"": 1, ""665"": 1}"	"{""275"": 18, ""1198"": 1, ""2409"": 6, ""948"": 3, ""1424"": 4, ""1228"": 7, ""1100"": 9, ""1336"": 26, ""1342"": 1, ""991"": 3, ""2009"": 1, ""1352"": 3, ""1274"": 1, ""1230"": 1, ""671"": 2, ""1320"": 2, ""1775"": 1, ""665"": 1}"
1703	SIX	zes	"{""1704"": 22, ""492"": 1, ""1356"": 28, ""1703"": 1, ""1705"": 1, ""1483"": 2, ""1498"": 1, ""1515"": 3, ""493"": 1, ""1226"": 2, ""1321"": 1, ""1500"": 1, ""1775"": 1}"	"{""1704"": 31, ""1705"": 9, ""1483"": 12, ""492"": 1, ""1500"": 2, ""1356"": 42, ""1703"": 1, ""1301"": 1, ""1263"": 1, ""1321"": 2, ""789"": 1, ""673"": 3, ""1515"": 5, ""1035"": 1, ""1718"": 3, ""1498"": 1, ""1225"": 1, ""1207"": 1, ""1634"": 1, ""1775"": 3, ""1702"": 1, ""1427"": 1, ""493"": 6, ""1707"": 1, ""1943"": 1, ""1323"": 1, ""816"": 1, ""1226"": 2, ""1352"": 1}"
1232	WARM	warm	"{""1287"": 19, ""1342"": 15, ""1663"": 1, ""1343"": 19, ""1193"": 1, ""1286"": 6, ""948"": 2, ""1401"": 1, ""156"": 2, ""221"": 1, ""635"": 1, ""2009"": 1, ""2458"": 2, ""1299"": 1}"	"{""221"": 8, ""1342"": 30, ""1287"": 24, ""4035"": 2, ""1343"": 47, ""1471"": 2, ""1663"": 2, ""156"": 6, ""1193"": 2, ""1286"": 11, ""1273"": 1, ""948"": 6, ""1100"": 2, ""847"": 1, ""806"": 4, ""1401"": 1, ""1299"": 3, ""1439"": 1, ""1474"": 6, ""2458"": 6, ""635"": 1, ""2009"": 1, ""1336"": 4, ""1757"": 1, ""1424"": 1, ""1373"": 1}"
1524	WINE	wijn	"{""156"": 31, ""1321"": 2, ""1335"": 5, ""604"": 5, ""920"": 1, ""717"": 1, ""1368"": 1, ""1401"": 4, ""1639"": 1, ""948"": 1, ""1569"": 1, ""887"": 1}"	"{""604"": 23, ""156"": 51, ""1335"": 23, ""1321"": 10, ""1401"": 7, ""1336"": 4, ""1463"": 7, ""1273"": 1, ""920"": 6, ""717"": 1, ""1292"": 1, ""1368"": 1, ""3625"": 1, ""1629"": 1, ""1232"": 2, ""1775"": 1, ""1569"": 3, ""1639"": 2, ""948"": 1, ""1847"": 1, ""887"": 1}"
1791	BUTTERFLY	vlinder	"{""937"": 1, ""239"": 12, ""1342"": 16, ""1441"": 8, ""1427"": 11, ""1246"": 2, ""1537"": 1, ""1424"": 2, ""606"": 2, ""1251"": 3, ""2997"": 1, ""2452"": 1, ""1613"": 1, ""2470"": 1}"	"{""937"": 1, ""1343"": 5, ""2997"": 5, ""1342"": 32, ""239"": 18, ""1537"": 5, ""1474"": 1, ""1251"": 6, ""1548"": 1, ""1441"": 16, ""1427"": 19, ""2316"": 7, ""1613"": 9, ""1631"": 1, ""1246"": 3, ""630"": 1, ""1659"": 1, ""1424"": 3, ""606"": 3, ""3091"": 2, ""1504"": 1, ""2470"": 2, ""1601"": 1, ""1248"": 1, ""619"": 2, ""1355"": 1, ""2452"": 2, ""837"": 1, ""774"": 1, ""1232"": 1, ""68"": 1}"
1469	WEEK	week	"{""1225"": 33, ""1856"": 3, ""1704"": 3, ""1645"": 1, ""1370"": 1, ""619"": 1, ""1601"": 1, ""1226"": 1}"	"{""1370"": 17, ""1226"": 12, ""1601"": 4, ""1856"": 11, ""1225"": 37, ""1704"": 10, ""673"": 2, ""1645"": 3, ""2578"": 1, ""493"": 1, ""1954"": 1, ""153"": 1, ""2998"": 1, ""628"": 1, ""1847"": 1, ""1631"": 1, ""619"": 4, ""1726"": 1, ""418"": 1}"
1650	WATCH	horloge	"{""1323"": 5, ""1395"": 2, ""1202"": 1}"	"{""1673"": 9, ""1466"": 2, ""1323"": 14, ""1426"": 2, ""654"": 1, ""1229"": 1, ""1427"": 1, ""1548"": 1, ""1819"": 1, ""1210"": 1, ""244"": 2, ""1824"": 3, ""1395"": 2, ""662"": 1, ""1202"": 1, ""686"": 1, ""724"": 1}"
2871	SWING (MOVEMENT)	schommelen	"{""3101"": 15, ""3124"": 4, ""2099"": 7, ""1476"": 1, ""1265"": 1}"	"{""1251"": 1, ""3124"": 13, ""3101"": 24, ""1265"": 3, ""1585"": 1, ""615"": 1, ""2099"": 16, ""1476"": 8, ""1280"": 2, ""1342"": 2, ""1289"": 1, ""1463"": 1, ""1452"": 5, ""1383"": 1, ""1829"": 1, ""1496"": 2, ""1221"": 1, ""1229"": 1, ""1844"": 1, ""906"": 1, ""1847"": 1, ""1343"": 1}"
1673	ARM	arm	"{""700"": 1, ""244"": 2, ""1297"": 14, ""712"": 15, ""687"": 1, ""1277"": 9, ""1210"": 1, ""1040"": 1}"	"{""2409"": 1, ""1040"": 4, ""700"": 1, ""244"": 3, ""1019"": 2, ""1864"": 4, ""1297"": 28, ""1277"": 26, ""227"": 1, ""1007"": 1, ""712"": 27, ""687"": 1, ""785"": 3, ""2099"": 1, ""2113"": 1, ""1476"": 2, ""418"": 1, ""1498"": 1, ""1650"": 2, ""1495"": 1, ""763"": 1, ""3534"": 2, ""1210"": 1, ""1427"": 2, ""2396"": 1, ""699"": 1, ""1242"": 1, ""153"": 1, ""1645"": 1}"
787	SAIL	zeilen	"{""1474"": 21, ""1844"": 21, ""948"": 26, ""978"": 2, ""1280"": 1}"	"{""1474"": 45, ""1844"": 40, ""1274"": 3, ""948"": 48, ""3132"": 1, ""119"": 1, ""978"": 4, ""1287"": 3, ""1427"": 1, ""1884"": 1, ""1343"": 5, ""1335"": 2, ""1406"": 1, ""156"": 1, ""1342"": 4, ""1471"": 2, ""1280"": 1, ""1401"": 1, ""712"": 2}"
3099	SOFA	bank	"{""1416"": 21, ""1839"": 1, ""673"": 2, ""1476"": 1, ""1629"": 1}"	"{""1416"": 42, ""1298"": 1, ""1252"": 2, ""3762"": 1, ""686"": 1, ""1425"": 2, ""1839"": 1, ""1803"": 3, ""712"": 2, ""1343"": 1, ""1856"": 1, ""1476"": 2, ""673"": 5, ""1663"": 1, ""1629"": 1, ""1232"": 1, ""906"": 1, ""905"": 1, ""1819"": 1, ""2409"": 1, ""606"": 1, ""1335"": 1, ""1044"": 1, ""671"": 1, ""1265"": 1}"
1456	THROW	weggooien	"{""648"": 2, ""1427"": 1, ""1609"": 1, ""588"": 1, ""1845"": 1}"	"{""648"": 7, ""667"": 2, ""1336"": 1, ""1427"": 1, ""1292"": 1, ""1845"": 3, ""1229"": 1, ""1609"": 1, ""588"": 4, ""2099"": 2, ""1728"": 1, ""654"": 1}"
2500	GINGER	gember	"{""3085"": 5, ""1292"": 1, ""1286"": 1, ""1100"": 3, ""1232"": 2, ""1639"": 1, ""1230"": 1, ""1427"": 1, ""1336"": 1, ""1373"": 1}"	"{""1100"": 12, ""1246"": 1, ""1586"": 2, ""3085"": 13, ""1335"": 2, ""1639"": 3, ""1292"": 3, ""1425"": 5, ""1286"": 2, ""1336"": 13, ""1232"": 3, ""1424"": 2, ""2409"": 2, ""887"": 3, ""1373"": 4, ""1230"": 3, ""3091"": 2, ""1396"": 1, ""1342"": 1, ""1427"": 1, ""634"": 1, ""1223"": 1, ""946"": 1, ""1613"": 1, ""1231"": 1, ""2627"": 1, ""2368"": 1, ""926"": 1, ""788"": 1, ""1123"": 1, ""717"": 1}"
220	INTACT	heel	"{""816"": 6, ""1429"": 4, ""1198"": 8, ""1246"": 1, ""1702"": 1, ""2277"": 10, ""1202"": 3, ""1856"": 1, ""1311"": 5, ""1406"": 1, ""1035"": 1, ""588"": 1, ""1424"": 1, ""1427"": 1, ""418"": 1, ""744"": 1}"	"{""816"": 7, ""1624"": 2, ""1429"": 9, ""1198"": 24, ""588"": 6, ""1246"": 3, ""1202"": 10, ""1757"": 2, ""1702"": 1, ""2277"": 22, ""1856"": 1, ""1406"": 2, ""1424"": 3, ""1427"": 3, ""1311"": 7, ""1613"": 1, ""1069"": 1, ""1035"": 1, ""785"": 1, ""1232"": 1, ""418"": 1, ""744"": 1, ""1244"": 1, ""1569"": 1, ""45"": 1}"
3053	TIGHT	strak	"{""3053"": 11, ""809"": 13, ""1400"": 4, ""2506"": 2, ""1244"": 1, ""785"": 4, ""3757"": 1, ""1267"": 3, ""629"": 1, ""1427"": 1, ""962"": 1, ""163"": 1, ""1884"": 1, ""2308"": 1, ""1633"": 1}"	"{""3053"": 18, ""1129"": 1, ""809"": 23, ""1244"": 4, ""1400"": 10, ""686"": 1, ""1725"": 1, ""2506"": 3, ""1246"": 4, ""1040"": 2, ""629"": 2, ""1404"": 2, ""785"": 5, ""163"": 3, ""1416"": 1, ""1267"": 6, ""3757"": 1, ""1735"": 1, ""1879"": 1, ""772"": 2, ""323"": 2, ""1622"": 1, ""1427"": 2, ""2308"": 2, ""1548"": 1, ""1035"": 1, ""962"": 1, ""706"": 1, ""1233"": 1, ""1592"": 1, ""1884"": 2, ""418"": 1, ""1895"": 1, ""1207"": 1, ""1633"": 1, ""1251"": 1}"
641	MUSHROOM	paddestoel	"{""1336"": 4, ""2506"": 1, ""771"": 1, ""641"": 3, ""156"": 1, ""906"": 1, ""1335"": 1, ""1230"": 1, ""2303"": 1}"	"{""1336"": 10, ""3251"": 2, ""2506"": 1, ""156"": 14, ""503"": 1, ""2643"": 1, ""771"": 1, ""641"": 8, ""1489"": 1, ""1427"": 1, ""1335"": 3, ""906"": 1, ""606"": 1, ""1230"": 1, ""1856"": 1, ""2303"": 1, ""153"": 1, ""1613"": 1}"
1870	ANCHOR	anker	"{""1844"": 51, ""1474"": 3}"	"{""1844"": 60, ""948"": 16, ""1210"": 8, ""1474"": 35, ""3762"": 5, ""978"": 2, ""1917"": 1, ""68"": 1, ""2638"": 1, ""1088"": 1, ""1627"": 1, ""2340"": 1, ""787"": 1, ""1439"": 1, ""785"": 1, ""156"": 1, ""227"": 1, ""671"": 1, ""1847"": 1}"
1653	BLIND	blind	"{""996"": 6, ""163"": 4, ""1409"": 11, ""1248"": 3, ""706"": 6, ""1616"": 1, ""1898"": 1, ""1295"": 6, ""3100"": 2, ""699"": 1, ""1847"": 2, ""1819"": 1, ""584"": 1}"	"{""2009"": 8, ""1295"": 26, ""996"": 9, ""1248"": 7, ""163"": 10, ""1898"": 6, ""1409"": 17, ""706"": 16, ""1673"": 1, ""712"": 1, ""1616"": 1, ""216"": 1, ""1408"": 1, ""1819"": 2, ""3100"": 5, ""3134"": 1, ""699"": 1, ""1847"": 3, ""905"": 1, ""1613"": 2, ""630"": 1, ""584"": 2, ""1419"": 1, ""589"": 1, ""3"": 1, ""2099"": 1, ""687"": 1}"
1262	BROTHER	broer	"{""1263"": 40, ""1554"": 3, ""194"": 15, ""2504"": 1, ""1207"": 1, ""1493"": 1, ""492"": 1, ""2470"": 1, ""1406"": 1, ""1252"": 1, ""3124"": 1}"	"{""1263"": 50, ""1554"": 9, ""1620"": 3, ""1202"": 6, ""194"": 45, ""2504"": 2, ""1217"": 10, ""1216"": 7, ""505"": 10, ""1327"": 1, ""1207"": 1, ""1242"": 1, ""1406"": 2, ""1493"": 1, ""785"": 1, ""156"": 1, ""3124"": 2, ""174"": 1, ""492"": 1, ""2821"": 1, ""2470"": 1, ""3101"": 1, ""100"": 1, ""1252"": 1, ""619"": 1, ""539"": 1, ""1246"": 2, ""3005"": 1, ""1427"": 1, ""900"": 1}"
3087	PACIFIER	speen	"{""1289"": 11, ""1129"": 2, ""1337"": 4, ""3085"": 1, ""2009"": 1, ""1321"": 1, ""1007"": 2, ""2099"": 1}"	"{""1289"": 31, ""1337"": 13, ""1216"": 1, ""946"": 4, ""1129"": 5, ""48"": 1, ""1416"": 2, ""1007"": 11, ""635"": 5, ""3085"": 2, ""2009"": 1, ""1839"": 2, ""1292"": 1, ""1592"": 2, ""219"": 1, ""1321"": 3, ""2099"": 3, ""1847"": 2, ""619"": 1}"
1411	LIE (REST)	liegen	"{""3230"": 13, ""1120"": 1, ""1548"": 3, ""163"": 1, ""1292"": 5, ""1390"": 2, ""962"": 1, ""1221"": 1}"	"{""2099"": 2, ""3230"": 24, ""1246"": 1, ""1120"": 3, ""1292"": 13, ""1240"": 1, ""1548"": 3, ""1607"": 1, ""1518"": 1, ""163"": 2, ""1030"": 2, ""789"": 1, ""1390"": 4, ""1601"": 1, ""584"": 1, ""962"": 1, ""1221"": 1, ""1826"": 1, ""1847"": 1}"
1419	FEAR (BE AFRAID)	bang	"{""706"": 11, ""1491"": 1, ""1625"": 1, ""1518"": 1, ""216"": 1, ""522"": 1, ""163"": 1, ""2099"": 3, ""26"": 1, ""3"": 1, ""121"": 1}"	"{""2099"": 11, ""706"": 32, ""221"": 1, ""2009"": 1, ""600"": 1, ""1246"": 3, ""1491"": 1, ""1625"": 4, ""163"": 4, ""1518"": 1, ""216"": 1, ""1826"": 1, ""1554"": 1, ""962"": 1, ""1884"": 1, ""1601"": 1, ""522"": 1, ""1190"": 1, ""1287"": 1, ""1270"": 1, ""1629"": 1, ""1233"": 2, ""26"": 1, ""3"": 1, ""785"": 1, ""121"": 1, ""1202"": 1}"
3703	STICKY	kleverig	"{""1069"": 18, ""1726"": 2, ""1230"": 4}"	"{""1069"": 45, ""584"": 1, ""26"": 2, ""2449"": 3, ""1726"": 2, ""1230"": 23, ""1543"": 2, ""628"": 1, ""717"": 1, ""647"": 1, ""1507"": 1, ""1399"": 1, ""1484"": 1, ""906"": 1, ""1504"": 1, ""1425"": 1, ""1277"": 1, ""1441"": 1}"
1415	THINK (REFLECT)	nadenken	"{""1256"": 3, ""584"": 8, ""1593"": 2, ""673"": 3, ""1468"": 2, ""504"": 1, ""962"": 1, ""1285"": 1, ""1376"": 1, ""794"": 1, ""418"": 1}"	"{""584"": 12, ""1256"": 9, ""1750"": 1, ""1593"": 4, ""3625"": 3, ""1757"": 1, ""504"": 2, ""673"": 6, ""1468"": 4, ""701"": 1, ""905"": 1, ""2099"": 2, ""648"": 1, ""789"": 1, ""962"": 1, ""1554"": 1, ""48"": 1, ""418"": 2, ""1663"": 1, ""1920"": 1, ""1310"": 2, ""1285"": 1, ""1410"": 1, ""1376"": 1, ""1030"": 1, ""1775"": 1, ""707"": 1, ""794"": 1, ""1198"": 1}"
1206	BARKING	blaffen	"{""2009"": 91}"	"{""2009"": 95, ""1826"": 3, ""1403"": 16, ""1208"": 6, ""1419"": 3, ""45"": 9, ""1240"": 1, ""377"": 3, ""505"": 1, ""522"": 2, ""619"": 5, ""715"": 1, ""3124"": 1, ""906"": 1, ""2940"": 2, ""2099"": 1, ""2470"": 1, ""825"": 1}"
3306	NAIL	slaan	"{""1845"": 2, ""1277"": 1, ""1292"": 1, ""2099"": 1, ""1884"": 3, ""1481"": 1, ""2396"": 5, ""1240"": 1, ""45"": 1, ""2902"": 4, ""1567"": 1, ""1135"": 1, ""1443"": 1}"	"{""1845"": 2, ""908"": 2, ""1277"": 9, ""1567"": 6, ""1292"": 1, ""1390"": 3, ""2099"": 3, ""1295"": 2, ""1884"": 8, ""2396"": 9, ""1481"": 1, ""2902"": 13, ""1560"": 1, ""588"": 2, ""1248"": 1, ""1240"": 1, ""45"": 3, ""1518"": 2, ""837"": 2, ""1601"": 1, ""3108"": 2, ""1826"": 1, ""946"": 1, ""1452"": 1, ""1135"": 1, ""1554"": 1, ""3110"": 1, ""1443"": 1, ""1829"": 1, ""1879"": 1}"
1636	MOTIONLESS	stokstil	"{""905"": 1, ""1419"": 1, ""1442"": 2, ""48"": 1, ""1625"": 1, ""1287"": 1}"	"{""905"": 1, ""1572"": 1, ""1442"": 5, ""1002"": 4, ""1625"": 8, ""2623"": 2, ""1229"": 1, ""1419"": 5, ""706"": 2, ""1629"": 1, ""1287"": 2, ""1295"": 1, ""1404"": 1, ""2099"": 2, ""48"": 3, ""1431"": 1, ""372"": 1, ""1819"": 1, ""906"": 1, ""937"": 1, ""787"": 1, ""1491"": 1, ""1608"": 2, ""1267"": 1}"
2833	RUM	rum	"{""1463"": 2, ""2409"": 2, ""785"": 1, ""1401"": 1}"	"{""1373"": 2, ""1463"": 9, ""785"": 6, ""1507"": 1, ""1342"": 1, ""604"": 3, ""2409"": 5, ""1879"": 2, ""1401"": 1, ""1230"": 1, ""1232"": 1, ""1343"": 1, ""1299"": 1}"
630	LIGHT (RADIATION)	licht	"{""625"": 25, ""1343"": 20, ""706"": 17, ""1232"": 1, ""221"": 1, ""2924"": 1, ""1201"": 2, ""1424"": 2, ""1425"": 1, ""1225"": 2, ""1210"": 1, ""1625"": 1, ""1287"": 1, ""1824"": 1, ""1233"": 1}"	"{""625"": 52, ""1343"": 43, ""706"": 26, ""1225"": 8, ""1210"": 12, ""1409"": 2, ""1375"": 4, ""1430"": 1, ""1201"": 5, ""1232"": 3, ""163"": 1, ""1339"": 2, ""1424"": 7, ""1335"": 2, ""221"": 2, ""1427"": 1, ""3231"": 2, ""2924"": 1, ""1585"": 1, ""1400"": 1, ""1425"": 1, ""156"": 1, ""3328"": 1, ""1285"": 1, ""1625"": 1, ""1287"": 1, ""1273"": 2, ""1824"": 1, ""1252"": 1, ""1631"": 1, ""1342"": 2, ""1654"": 1, ""1233"": 1, ""59"": 2}"
1417	KILL	vermoorden	"{""1625"": 36, ""1352"": 4, ""1417"": 1, ""963"": 1, ""706"": 1, ""1292"": 1, ""1554"": 1, ""1298"": 1, ""216"": 1, ""946"": 1}"	"{""1625"": 46, ""1352"": 13, ""946"": 15, ""1566"": 1, ""500"": 1, ""1494"": 1, ""1417"": 1, ""963"": 1, ""1826"": 1, ""1899"": 2, ""706"": 1, ""1292"": 5, ""1554"": 1, ""1298"": 2, ""3812"": 1, ""667"": 1, ""1390"": 1, ""216"": 1, ""1270"": 1, ""1518"": 1}"
671	SAND	zand	"{""1474"": 37, ""1424"": 2, ""1938"": 4, ""1399"": 1, ""3328"": 1, ""1286"": 1}"	"{""1474"": 71, ""2099"": 1, ""1938"": 15, ""1343"": 15, ""640"": 2, ""1424"": 5, ""1342"": 7, ""604"": 2, ""3124"": 2, ""3131"": 1, ""1232"": 3, ""1399"": 1, ""857"": 1, ""948"": 3, ""837"": 1, ""96"": 1, ""1228"": 1, ""3328"": 1, ""639"": 1, ""1286"": 1, ""1335"": 1, ""1398"": 1}"
3707	BEIGE	beige	"{""153"": 3, ""1613"": 42, ""1335"": 3, ""1424"": 3, ""809"": 1, ""2409"": 7, ""1548"": 3, ""3707"": 1, ""1299"": 1, ""1111"": 1, ""671"": 2, ""905"": 2, ""2452"": 1, ""1496"": 1}"	"{""153"": 5, ""1613"": 61, ""1335"": 10, ""2409"": 19, ""1424"": 7, ""1856"": 6, ""905"": 12, ""69"": 1, ""809"": 4, ""4035"": 4, ""630"": 6, ""1548"": 10, ""292"": 1, ""1471"": 2, ""3707"": 1, ""1299"": 1, ""635"": 1, ""1111"": 1, ""3117"": 1, ""671"": 6, ""647"": 5, ""2452"": 1, ""1427"": 2, ""763"": 1, ""2009"": 1, ""3122"": 1, ""1496"": 1, ""1425"": 1}"
